n_clusters,time,entropy,iterations
1000,359.959937,4.532818,16
1000,362.635584,4.532570,15
1000,349.191902,4.531190,13
1000,358.938625,4.532475,17
1000,350.296954,4.533766,14
1000,355.593422,4.535487,15
1000,364.898152,4.530007,19
1000,349.342194,4.535894,14
1000,352.203166,4.537793,15
1000,362.516864,4.534890,19
1000,364.840899,4.530830,20
1000,344.651918,4.535595,13
1000,354.125691,4.533181,17
1000,346.517880,4.535458,14
1000,350.867926,4.534191,15
1000,356.754111,4.532145,17
1000,349.301330,4.533484,14
1000,364.969648,4.534584,20
1000,351.095131,4.533523,15
1000,338.863187,4.532095,11
2000,664.304843,4.516688,10
2000,674.399534,4.514393,12
2000,678.677984,4.513836,13
2000,679.130030,4.517723,13
2000,680.987227,4.514627,13
2000,666.566650,4.517853,11
2000,651.924132,4.516925,8
2000,679.417222,4.514388,13
2000,674.171036,4.513298,12
2000,651.160702,4.519547,8
2000,695.194903,4.514550,16
2000,670.648842,4.513183,11
2000,675.842566,4.511442,12
2000,679.761680,4.519158,13
2000,678.379081,4.515376,13
2000,671.714829,4.512410,12
2000,667.222230,4.514770,11
2000,655.549794,4.515935,9
2000,670.007116,4.518820,11
2000,675.532421,4.516331,12