n_clusters,Random,RG,CO_2500,CO_5000,DI_init,DI_iter1,DI_iter5,DI_iter10,DI_final
2,5.056823,5.057129,4.943851,4.935435,5.057129,5.053361,4.969757,4.942585,4.924933
3,5.056596,5.052538,4.894545,4.863441,5.052538,4.969464,4.867044,4.863986,4.863699
4,5.054786,5.052002,4.870553,4.851905,5.052002,4.939240,4.820063,4.797353,4.794964
5,5.054567,5.051237,4.777776,4.787904,5.051237,4.897173,4.796915,4.772302,4.768933
6,5.054334,5.042887,4.771846,4.773875,5.042887,4.878924,4.774624,4.744775,4.744752
7,5.054450,5.036654,4.755817,4.748802,5.036654,4.871278,4.750453,4.725645,4.723744
8,5.052520,5.008882,4.732843,4.748796,5.008882,4.850192,4.744114,4.716995,4.707231
9,5.052053,4.997618,4.736892,4.729401,4.997618,4.844639,4.731092,4.707164,4.695103
10,5.050734,4.980996,4.731749,4.716228,4.980996,4.808251,4.728362,4.702055,4.689716
11,5.050346,4.955091,4.706495,4.702969,4.955091,4.797225,4.708108,4.686234,4.675569
12,5.051544,4.937289,4.701332,4.700948,4.937289,4.790358,4.691394,4.671396,4.671009
13,5.049749,4.924504,4.713276,4.696569,4.924504,4.777645,4.690399,4.662481,4.661886
14,5.050338,4.910745,4.699697,4.689968,4.910745,4.769491,4.677698,4.656426,4.655067
15,5.049589,4.881059,4.685457,4.682430,4.881059,4.760836,4.675478,4.653968,4.652614
16,5.049180,4.860660,4.699263,4.684421,4.860660,4.755208,4.658636,4.649609,4.648273
17,5.047847,4.849728,4.685387,4.675923,4.849728,4.750504,4.652438,4.645873,4.643189
18,5.045771,4.840336,4.668081,4.676790,4.840336,4.748107,4.649858,4.640228,4.636410
19,5.044297,4.827674,4.666724,4.671549,4.827674,4.742357,4.648426,4.640525,4.634407
20,5.044504,4.821522,4.668396,4.661502,4.821522,4.734775,4.641651,4.633564,4.630776
30,5.041624,4.722946,4.641012,4.642235,4.751496,4.666685,4.615983,4.610432,4.607378
40,5.030927,4.709652,4.644145,4.623858,4.741259,4.661243,4.604855,4.594903,4.590764
50,5.030708,4.699163,4.625263,4.618174,4.740935,4.660804,4.598085,4.586967,4.584365
100,5.007684,4.691775,4.598661,4.587656,4.793506,4.693204,4.607075,4.578295,4.553247
200,4.972346,4.635949,4.588914,4.571947,4.791920,4.664891,4.576936,4.554850,4.531448
300,4.942436,4.611341,4.579457,4.559804,4.789515,4.639106,4.560066,4.545036,4.520803
400,4.924035,4.594319,4.570241,4.556773,4.789214,4.623425,4.552851,4.537810,4.514823
500,4.907595,4.581078,4.563349,4.549180,4.785697,4.623519,4.544912,4.529178,4.507347
1000,4.834967,4.539287,4.542940,4.533219,4.778984,4.589085,4.522568,4.510867,4.492315
2000,4.761891,4.501084,4.528852,4.513575,4.767508,4.564393,4.504282,4.493939,4.483137